feature,weight
noun_num,-0.00952733651485
persuasive,0.449091416479
average_word_length,-0.300870760349
words,-0.0358399919786
@,0.01473752865
hasAt,0.00101715998827
question_mark_num,0.00872879935088
second_pronoun_num,0.0507271153647
professional_words_num,-0.0851548722633
object_num,-0.0066751350946
sentences,0.0854718156813
pron_num,0.0397213264752
sentence_broken,0.0031088904531
LIX,-0.0334223674786
verb_num,0.0158144438994
hasTag,0.00223983885089
modal_particle_num,0.0962825185344
interactivity,0.0264096123078
Integrity1,0.0190700087071
RIX,-0.029176482689
hasVideo,0.000587097725962
forward_reference_num,0.0273396708645
interestingness,0.0545613084455
LW,-0.0834058870241
sentiment_score,0.210867325819
Interrogative_pron_num,0.00141221058611
numerals,-0.0770625574714
formality,-0.040841512997
prep_num,0.00230698868921
logic,0.00355883282739
adv_of_degree_num,0.00644267504582
moving,0.0498095402287
characters,0.0644958698931
rhetoric_num,-0.0301122765294
exclamation_mark_num,0.406577347876
adv_num,1.21902850361e-06
readability,0.020520427995
face_num,0.0337297245195
hasUrl,-0.00578074975865
adversative_num,0.000640381724928
idiom_num,6.94266636068e-06
place_num,-0.0402311247386
time_num,-0.00355522457855
conj_num,-0.00992789455678
first_pronoun_num,0.00370502537145
uncertainty,0.0041619753009
adj_num,0.0489649007321
sub_sentences,0.0181438827991
image_num,0.0127644119526
hasHead,0.00990065510753
official_speech_num,-0.00133471591917
